Sr. Name,tweet,label,username
1, Pakistan is a terrorist state. #iukwim, ,ahsan12
2,%Pakistan is supporting corruption,,huri3
3,You are not my friend #friendship,,osama402
4,"Hey, I'm in Pakistan. It's a great country. #best",,fa32
5,"Hello, Ho@#$% ",,awr34
6,Its Okay,,aw423
7,  Dont worry about Kashmir  its our baby  Pakistan is declared by FATF as Terrorist state amp not India  In the name of Kashmir ISI amp rouge Pak Army is taking you guys through garden path  In India people have the power to throw out a Govt ,,fanpageofirk
8,  The world knows that Pakistan is in itself a terrorist state run by the toons of the ISI and the Pakistan Army Kashmir went to flames at the behest of Pakistan in 1989 when BJP was not anywhere near power of Delhi and is still burning and shall keep so till Pak fuels it,,alichghulam984
9,We do not need your sympathy but controlling  THUGs   ,,a_proudcivilian
10, Pakistan is a terrorist state yesterdays terrorist TTP is going to reconcile with ISI we highly condemn all relations among states and terrorist groups ISIPak Army ISISTerrorist,,pakiswift
11,   was brought to the power by Pak Army and ISI to destroy Pashtoons Thats why he won in KPK first and then in Federal   for Pakistan is a terrorist state  ,,hinam74457396
12, A country who harbours nurtures helps terrorists since ages is a terrorist state  ISI PAK ARMY help  terrorists infiltrate Bottomline  pakistan is a terrorist state and  is a TERRORIST    ,,ibrarkhansafi
13,American strategists thought they can defeat Taliban in partnership with Pakistan 3 trillion was wasted on a duplicitous Pak Army n ISI If they asked Tajikistan for supply routes it wouldve worked out better Declare Pak terrorist state Impose sanctions  ,,ronnyinblack
14, This is the real face of  Terrorist state now its time to revert back and a strong reply should be given to   Army  This   of Pak army amp ISI only understand one language that is Brutal war,,khannn108
15,  ISI         Taliban are the ISI amp Pak army murdering machine to kill Pashtuns    ,,meme_sonambulo
16,  Instead of declaring PAK a terrorist state Indian Government is giving lifeline  to Pak Army ISI n Terror groups Pakistan was is n will be an enemy to India n ally to China,,pakistai_boy
17,     The rapist Pak army and ISI are doing genocide in Balochistan  They are kidnapping innocent and raping their womens  Plz raise the voice for my brothers stuck in terrorist state Pakistan      ,,mhd_binasghar
18,Strip him off his uniform. Disgrace for army ,,aaa
19,Pakistan is not a terrorist state,,gdfdf
